,field,time_period,ranking,university_name,score,faculty,image_url
0,all,2000,1,University of Toronto,11.6,31,./assets/uoft.jpeg
1,all,2000,2,University of Alberta,5.4,22,./assets/alberta.jpeg
2,all,2000,3,University of Waterloo,5.1,18,./assets/waterloo.jpeg
3,all,2000,4,University of Montreal,3.4,12,./assets/umontreal.jpeg
4,all,2000,5,University of British Columbia,3.1,12,./assets/ubc.jpeg
5,all,2000,6,Simon Fraser University,2.8,12,./assets/sfu.jpeg
6,all,2000,7,University of Calgary,1.8,5,./assets/ucalgary.jpeg
7,all,2000,7,York University,1.8,6,./assets/york.jpeg
8,all,2000,9,McGill University,1.7,3,./assets/mcgill.webp
9,all,2000,10,University of Guelph,1.6,7,./assets/guelph.jpeg
10,all,2000,11,University of Saskatchewan,1.5,1,./assets/usask.jpeg
11,all,2000,12,Concordia University,1.4,6,./assets/concordia.jpeg
12,all,2000,12,Université Laval,1.4,3,./assets/ulaval.jpeg
13,all,2000,12,Western University,1.4,4,./assets/western.jpeg
14,all,2000,15,Carleton University,1.3,4,./assets/carleton.jpeg
15,all,2000,15,Dalhousie University,1.3,2,./assets/dalhousie.jpeg
16,all,2000,15,Queen’s University,1.3,2,./assets/queens.jpeg
17,all,2000,15,Toronto Metropolitan University,1.3,2,
18,all,2000,15,University of Ottawa,1.3,3,./assets/uottawa.jpeg
19,all,2000,15,Université de Sherbrooke,1.3,3,
20,all,2000,21,ETS Montreal,1.2,4,./assets/etsmontreal.avif
21,all,2000,21,Memorial University of Newfoundland,1.2,1,
22,all,2000,21,Ontario Tech University,1.2,1,
23,all,2000,21,Royal Military College of Canada,1.2,1,
24,all,2000,25,University of New Brunswick,1.1,1,
25,all,2000,25,University of Windsor,1.1,1,
26,all,2000,27,University of Manitoba,1.0,1,./assets/umanitoba.jpeg
27,all,2000,27,University of Victoria,1.0,1,./assets/uvic.jpeg
28,all,2000,27,Université du Québec à Montréal,1.0,1,
29,ai,2000,1,University of Alberta,32.7,18,./assets/alberta.jpeg
30,ai,2000,2,University of British Columbia,15.9,6,./assets/ubc.jpeg
31,ai,2000,3,University of Toronto,12.7,10,./assets/uoft.jpeg
32,ai,2000,4,Simon Fraser University,9.4,5,./assets/sfu.jpeg
33,ai,2000,5,University of Waterloo,8.3,9,./assets/waterloo.jpeg
34,ai,2000,6,Carleton University,2.8,3,./assets/carleton.jpeg
35,ai,2000,6,McGill University,2.8,1,./assets/mcgill.webp
36,ai,2000,8,Concordia University,2.4,3,./assets/concordia.jpeg
37,ai,2000,9,Toronto Metropolitan University,2.3,1,
38,ai,2000,10,University of Montreal,2.0,1,./assets/umontreal.jpeg
39,ai,2000,10,York University,2.0,1,./assets/york.jpeg
40,ai,2000,12,Memorial University of Newfoundland,1.8,1,
41,ai,2000,13,Dalhousie University,1.7,2,./assets/dalhousie.jpeg
42,ai,2000,14,University of Calgary,1.5,1,./assets/ucalgary.jpeg
43,ai,2000,14,University of Guelph,1.5,1,./assets/guelph.jpeg
44,ai,2000,16,University of Ottawa,1.3,1,./assets/uottawa.jpeg
45,ai,2000,16,Université Laval,1.3,1,./assets/ulaval.jpeg
46,ai,2000,16,Western University,1.3,1,./assets/western.jpeg
47,ai,2000,19,University of Saskatchewan,1.2,1,./assets/usask.jpeg
48,ai,2000,20,Université de Sherbrooke,1.1,1,
49,ai,2000,20,Université du Québec à Montréal,1.1,1,
50,cv,2000,1,University of Toronto,30.0,6,./assets/uoft.jpeg
51,cv,2000,2,University of Waterloo,13.9,5,./assets/waterloo.jpeg
52,cv,2000,3,York University,9.8,5,./assets/york.jpeg
53,cv,2000,4,McGill University,8.0,3,./assets/mcgill.webp
54,cv,2000,5,University of Alberta,7.2,4,./assets/alberta.jpeg
55,cv,2000,6,Simon Fraser University,6.0,6,./assets/sfu.jpeg
56,cv,2000,7,University of Montreal,5.7,5,./assets/umontreal.jpeg
57,cv,2000,8,University of British Columbia,5.4,3,./assets/ubc.jpeg
58,cv,2000,9,Université de Sherbrooke,3.5,2,
59,cv,2000,10,Ontario Tech University,2.5,1,
60,cv,2000,10,University of Guelph,2.5,2,./assets/guelph.jpeg
61,cv,2000,12,University of Calgary,2.3,1,./assets/ucalgary.jpeg
62,cv,2000,13,University of Ottawa,2.0,1,./assets/uottawa.jpeg
63,cv,2000,14,ETS Montreal,1.9,3,./assets/etsmontreal.avif
64,cv,2000,15,Toronto Metropolitan University,1.8,1,
65,cv,2000,16,Western University,1.6,2,./assets/western.jpeg
66,cv,2000,17,University of Windsor,1.5,1,
67,cv,2000,18,Université Laval,1.3,1,./assets/ulaval.jpeg
68,ml,2000,1,University of Alberta,22.6,6,./assets/alberta.jpeg
69,ml,2000,2,University of Toronto,13.2,8,./assets/uoft.jpeg
70,ml,2000,3,University of Montreal,11.6,5,./assets/umontreal.jpeg
71,ml,2000,4,University of Waterloo,4.0,4,./assets/waterloo.jpeg
72,ml,2000,5,Université Laval,3.8,1,./assets/ulaval.jpeg
73,ml,2000,6,Western University,3.0,2,./assets/western.jpeg
74,ml,2000,7,Dalhousie University,2.5,1,./assets/dalhousie.jpeg
75,ml,2000,7,University of Guelph,2.5,2,./assets/guelph.jpeg
76,ml,2000,9,Royal Military College of Canada,2.3,1,
77,ml,2000,10,Concordia University,2.0,2,./assets/concordia.jpeg
78,ml,2000,10,University of Calgary,2.0,1,./assets/ucalgary.jpeg
79,ml,2000,10,University of New Brunswick,2.0,1,
80,ml,2000,13,University of British Columbia,1.9,3,./assets/ubc.jpeg
81,ml,2000,14,Memorial University of Newfoundland,1.5,1,
82,ml,2000,14,York University,1.5,1,./assets/york.jpeg
83,ml,2000,16,ETS Montreal,1.3,1,./assets/etsmontreal.avif
84,irnlp,2000,1,University of Toronto,4.9,8,./assets/uoft.jpeg
85,irnlp,2000,2,University of Waterloo,3.8,4,./assets/waterloo.jpeg
86,irnlp,2000,3,University of Montreal,3.3,5,./assets/umontreal.jpeg
87,irnlp,2000,4,University of Alberta,2.2,4,./assets/alberta.jpeg
88,irnlp,2000,5,Simon Fraser University,2.0,1,./assets/sfu.jpeg
89,irnlp,2000,6,University of Ottawa,1.4,2,./assets/uottawa.jpeg
90,irnlp,2000,7,Concordia University,1.2,1,./assets/concordia.jpeg
91,irnlp,2000,7,Dalhousie University,1.2,1,./assets/dalhousie.jpeg
92,irnlp,2000,7,University of British Columbia,1.2,1,./assets/ubc.jpeg
93,irnlp,2000,7,University of Saskatchewan,1.2,1,./assets/usask.jpeg
94,hci,2000,1,University of Toronto,19.6,9,./assets/uoft.jpeg
95,hci,2000,2,University of Saskatchewan,5.4,1,./assets/usask.jpeg
96,hci,2000,3,University of Calgary,4.7,2,./assets/ucalgary.jpeg
97,hci,2000,4,Queen’s University,3.9,2,./assets/queens.jpeg
98,hci,2000,5,University of British Columbia,3.6,3,./assets/ubc.jpeg
99,hci,2000,6,University of Waterloo,2.7,3,./assets/waterloo.jpeg
100,hci,2000,7,Simon Fraser University,2.1,1,./assets/sfu.jpeg
101,hci,2000,7,University of Guelph,2.1,2,./assets/guelph.jpeg
102,hci,2000,9,Carleton University,1.5,1,./assets/carleton.jpeg
103,hci,2000,10,University of Manitoba,1.3,1,./assets/umanitoba.jpeg
104,hci,2000,10,University of Victoria,1.3,1,./assets/uvic.jpeg
105,all,2010,1,University of Toronto,15.6,48,./assets/uoft.jpeg
106,all,2010,2,University of Waterloo,13.1,28,./assets/waterloo.jpeg
107,all,2010,3,University of Alberta,8.4,35,./assets/alberta.jpeg
108,all,2010,4,University of British Columbia,8.2,29,./assets/ubc.jpeg
109,all,2010,5,Simon Fraser University,6.3,21,./assets/sfu.jpeg
110,all,2010,6,University of Montreal,4.9,13,./assets/umontreal.jpeg
111,all,2010,7,Carleton University,3.1,5,./assets/carleton.jpeg
112,all,2010,8,McGill University,2.4,10,./assets/mcgill.webp
113,all,2010,9,Concordia University,2.2,7,./assets/concordia.jpeg
114,all,2010,9,Université Laval,2.2,7,./assets/ulaval.jpeg
115,all,2010,11,University of Guelph,2.1,5,./assets/guelph.jpeg
116,all,2010,11,York University,2.1,11,./assets/york.jpeg
117,all,2010,13,University of Calgary,1.8,9,./assets/ucalgary.jpeg
118,all,2010,14,Dalhousie University,1.7,7,./assets/dalhousie.jpeg
119,all,2010,15,Queen’s University,1.6,4,./assets/queens.jpeg
120,all,2010,15,University of Ottawa,1.6,5,./assets/uottawa.jpeg
